Tepiter north=Stelle south=Neptune-Hecomri east=Drano west=Hephaesbar
Lethmarlu north=Vallesti-Prome south=Aurason east=Piusbran west=Tuni
Benzarcen north=Lambdus-Xeli south=Simio-Epsimio east=Brentaza west=Phoonnoe
Tuneben north=Gepago south=Osi-Biru east=Megloscher west=Godusto
Arapius north=Varda south=Thoslic east=Tiusgi west=Resve
Perciizeus north=Britoidme-Yacii south=Dannario east=Cellesti
Caldomi-Senachra north=Centau-Donesi south=Despesza east=Marida-Phimopi west=Ura-Saturndite
Scheroxide south=Nomini-Brenta east=Signim west=Thurabus
Theju north=Liruam south=Gimars east=Obli-Dreariona west=Ximari-Caldomi
Ruba north=Vesigdes south=Saturnam east=Nosnibi west=Taleonno
Ronter north=Larkep south=Simioqua east=Cronneptune west=Digedov
Opcog north=Phoonlu south=Sigconleb east=Spholispho west=Castalgla
Danronthe north=Vanxi south=Metne-Arabos east=Pagomor west=Soli-Neptuneri
Dustopia-Vallesti north=Danlar south=Uravan east=Leonis-Diavi west=Cori
Astos-Toidsuspho north=Taurida-Phiam south=Metneli-Ladunepul east=Nisronmet west=Meglo-Astos
Pistsa north=Epsimio-Epsimio south=Ronceti east=Urashpo west=Nomi-Giburet
Zeusret north=Sonlamb south=Nimbus-Lonsi east=Danu west=Tume
Medo north=Pesstelle east=Lambdus-Yadunedis west=Heli-Sepmorcar
Appotel-Astosdav north=Stellera-Leinnau south=Vongi east=Metne-Davpistpho west=Arvada-Recheabren
Pullox north=Susmeg south=Nislar east=Vetal west=Dermi-Leraplu
Saistel north=Lambdus-Marscat south=Arva-Priomri east=Pagolar west=Pesxar
Desdo north=Britoid-Orilera south=Embora-Leincas east=Miodanlar west=Digeti
Thesi north=Doslebdi south=Britoid-Magvalles east=Lepleonis west=Minibi-Dosneli
Osi-Bumetne north=Puster south=Nomini-Phobos west=Oxisencor
Cogaphro north=Heinleinmor south=Cori-Rucelles east=Cheatixar west=Xelimag
Kisconnig north=Boslic-Minibi south=Donecori east=Linet west=Tichronos
Yaspho north=Domi south=Dreathura east=Pribenzar west=Vanmag
Nissimio north=Sonra south=Stelle-Vonba east=Embora-Mopiter west=Toidsusron
Desamdi north=Carda-Quadeni south=Susdreaop east=Osi-Tacu west=Turnthi
Esla-Trapist north=Dusto-Castalva south=Spholi-Osi-Morla east=Achra-Coghephaes west=Vichronos
Domi-Priseg north=Pripiustra south=Dunebiapa east=Leplesti west=Cori-Magpi
Zardrale north=Pistesla south=Minibi-Kissai east=Zathura-Tosbrenta west=Mechro
Ditelu north=Tusegci south=Kiskismo east=Britoid-Davstelle west=Phobos-Sicret
Cogbos north=Thuradone south=Mopi-Lesticen east=Dreapercii west=Ando-Taxdestal
Celles-Epsimio-Stellera north=Uraach south=Dermi-Telmia east=Eonperi west=Corida-Urajo
Discrondov north=Sensen south=Caldo-Ludomi east=Tuneoxiaes west=Toidpistmo
Yaqua north=Netar south=Cury-Pistbos east=Dovne west=Karamagstel
Tunedei north=Lolep south=Geau east=Cronas west=Branphi
Aldi-Keplarmeg north=Prome-Deslictax south=Stagnibi-Metneli east=Liusshpo west=Celles-Brenta
Lestitra north=Tunenig south=Thepotel east=Toidder west=Nosthosri
Meglo-Lesti north=Sonca south=Hectau east=Mercu-Pago west=Nula-Phantax
Cygmar north=Piterra-Taxrora south=Talpluto east=Eslabi west=Lepleonis
Netquados north=Perida-Solita south=Pribran east=Rupesbia west=Rumor
Cica-Toshypho north=Urathos east=Plutopia-Vanpia west=Destunelar
Rymer north=Nula-Pesdei south=Zathura-Heli east=Davlera west=Vanniszar
Ximari-Cogando north=Puszeusmar south=Heli-Chronosscher east=Sigdusto west=Rype
Dovscher north=Vontel south=Dorsai-Boravus east=Shporiona-Ximari west=Doneal
Prilu north=Aphrora-Shporio south=Quaeon east=Potel-Omrida west=Cellesti-Marida
Segphoon north=Marsam south=Ando-Nosnigturn east=Piusnoe west=Senthemag
Oxirenet north=Lebrida south=Nospius east=Stagnibi-Mari west=Cicade
Vadani-Dydrea north=Cardani-Ceti south=Sigobli east=Nomi-Perciilar west=Ryobli
Aurapes north=Nulazar south=Liusve east=Dovbusne west=Toszeusaes
Barsonshpo north=Pianeptune south=Lesti-Liuskara east=Ronbarson west=Dreadusto
Danibi-Chealeinleo north=Burora south=Cheamarpus east=Amdige-Biru west=Netterra
Phantax-Spholihe north=Pagocyg south=Dismepia east=Pianos west=Tosdia
Stellera-Suszar north=Susnibi south=Heli-Deispho east=Mopi west=Pulkisya
Cordomi-Busturn north=Branen south=Leinlar east=Xarneli west=Arasi
Cheaosi north=Marida-Neli south=Danibi-Vonmari east=Jupi-Rionacar west=Lera-Arva
Brentapia north=Pesdav south=Taurida-Mini east=Cosmari-Cogdypa west=Astos-Thenos
Noelidav north=Dustopia-Noeli south=Hecoripho east=Keplar west=Xeli-Yarebran
Typhoonsep north=Deni-Gidescen south=Nimbus-Caldomi east=Britoid-Mesara west=Dermi-Dovthos
Quaru north=Phiso south=Mesciiap east=Raau west=Ura-Potelmia-Zarbrenta
Chronos-Spholikup north=Retdrea south=Domini-Castal east=Yaes west=Licach
Lethchronos north=Castal-Percii south=Cosmari-Dermini east=Carda-Tunebran west=Appo-Simiocal
Cronxar north=Phanibi-Spholivian south=Minibi-Loma east=Karavusvian west=Cordomi-Danibi-Nomi
Phobos-Lanxarvon north=Saturnlic south=Brantoshe east=Tatiusphi west=Quaepsi
Deni-Deiosoli north=Landan south=Sigduneju east=Kupsic-Diaachra west=Rionahein
Plutopia-Marstelle north=Licastal south=Taxmia east=Uramo west=Piaoxicor
Terra-Nosmari north=Dani-Nosdiario south=Ciiomri east=Pistlan west=Resca
Phitauri north=Oblipa south=Hecya east=Revus west=Susdeire
Nimbus-Godiatu north=Osoli-Loxlon south=Morde east=Dermini-Hecthebren west=Stagnibi-Astos
Signeptune north=Simiobus south=Centau-Drapiapi east=Osi-Danibi west=Magjo
Arvada-Opchea north=Cogsaio south=Endorsai-Saidavlamb east=Lebnoe west=Vansai
Diaxi north=Pistastos south=Distu east=Phantax-Amdige west=Sepdrea
Sondorsai north=Netdre south=Lanphina east=Donepluto
Lepleonis north=Nula-Netdomi south=Osimio-Zeusliussus east=Cygmar west=Thesi
Cadre north=Neptune-Varmercu south=Phanibi-Relamb east=Cori-Dorsai west=Promestag
Oblitius north=Terra-Arvada south=Kupsicbo east=Marsve west=Rucar
Lambdusto-Mercury north=Amdi-Lieondre south=Miave east=Deltasep west=Liceonjo
Eslaori north=Centau-Dosge south=Catres east=Biaval west=Karaaphro
Lebnoeli north=Doscen south=Chronosre east=Phanibi-Dorsai west=Marbusar
Boraso south=Dige-Osimio east=Canos west=Arva-Nostal
Ryvalles north=Mopi-Vusme south=Cogce east=Tunecelles west=Benzarru
Thinisres north=Dosobli south=Centau-Peri east=Boslic-Phoboslic west=Phani-Appotel-Pulrio
Digesi north=Zeuskarary south=Branosi west=Thiphani
Noeliep-Dermini north=Heinleincog south=Croncamer east=Miosegstel west=Xelity
Veopya north=Typhoonlius south=Minibi-Liusmercu east=Saicronpia west=Dani-Appo
Retni north=Benzarbo south=Tepriba east=Pulchea west=Golischer
Stellera-Cordomi north=Pistdeivar south=Turnci east=Osi west=Lasphoonmet
Keplarbos north=Jupi-Marretmar south=Bari-Noeli east=Desthu west=Piterra-Centauri
Ronceti-Shporiona north=Glatius-Neli south=Velius east=Tiusmet west=Terraphi
Cabu north=Chronos-Hyphobos south=Birusig east=Osimio-Cury west=Resstagni
Xarturn north=Prome-Dani south=Percii-Magpri east=Cellesti-Marida west=Castal-Digespho
Cygaph north=Thura-Heliry south=Lancen east=Susdeire west=Peri-Embo
Govancyg north=Senmedav south=Rupistdre east=Thelethbo west=Toidtos
Embora-Danri north=Ceti-Typhoon south=Saturn-Zathu east=Cheave west=Kisdre
Barsonplu north=Oridan south=Spholi-Vanjupi east=Leinaphro west=Nisrevus
Sighe north=Rulon south=Donetauri east=Biaseg west=Simioau
Joopde north=Dosmarsbri south=Cica-Boslicbar east=Rionames west=Talnoeli
Phobos-Boslic-Boslic north=Cadre-Terra south=Theres east=Busseg west=Dososi
Geau-Danibi north=Rymopi south=Taom east=Zathura-Varvi west=Viansen
Cheapi north=Licquaya south=Thosvonpul east=Noeli-Zathura west=Amdige-Dorsai
Ciiri north=Resa south=Barsontel east=Davte west=Appotel-Minibi
Ditestag north=Zarpiahec south=Nimbus-Spholides east=Zathu-Dusto west=Dusto-Dretaxpro
Nomi-Perciilar north=Endor-Talvar south=Meglo-Xarxarop east=Cogthi west=Vadani-Dydrea
Perciimio north=Dymarar south=Catmo east=Pripiada west=Tunexima
Astos-Rythelo north=Astosbran south=Spholi-Celles east=Jomaglic west=Miotau
Neptune-Oritulu north=Domini-Thescherdia south=Cronlonsi east=Cetimo west=Nomini-Nosdy
Nomi-Chronosval north=Vianspholi south=Deieon east=Netthos west=Potelmia-Esla
Sepvarsus north=Metne-Rorari south=Embora-Davdone east=Retosdos west=Vadani-Heinlein
Aesthi north=Arva-Eonmia south=Brentaba east=Buvalles west=Cosma-Boradite
Zathura-Morlethso north=Rondune south=Lotaxvon east=Oxistelle west=Mercury-Neptunecyg
Aphrora-Sicphoon north=Nacat south=Zeusjochro east=Typhoonnu west=Rescygrio
Laschro-Lanbenzar north=Nulanep south=Larrora east=Dorsaileo west=Lambdus-Simio
Heclepleo north=Hecglatius-Tizeus south=Domi-Nimbustra east=Marida-Piuslacron west=Vonvonoxi
Osi-Hephaes north=Magpiter south=Typhoonlein east=Resdra west=Ditecentau
Vareon north=Borate south=Varramia east=Achra-Loditedite west=Miaresbri
Phoonpul north=Lasdos east=Embora-Cicabi west=Danbranleth
Marida-Benzar north=Rionapri south=Soli-Neptunecel east=Nelicar west=Joval
Vannis north=Licap south=Aesmari east=Dreakisstel west=Turngimar
Sicres north=Cronsen south=Curycat east=Cygbar west=Spholi-Thiem
Domi-Marnibi north=Sepes south=Vilethdo east=Piuslon west=Nibi-Castal
Taxka north=Biabuleth south=Mesaphro east=Pagolein west=Getaxnep
Aesob-Karamia north=Araret south=Gisusscher east=Pussa west=Potelmia-Keplar
Taxlesti north=Marsarva south=Curyaes east=Remopi west=Dialebdra
Mari-Lethya north=Giperi-Leinoriva south=Senob east=Licbarson west=Busres
Nula-Glatiusnis north=Mari-Kara south=Typhoon-Davmag east=Barsonmo west=Saturnsi
Catcogleth north=Segbari south=Appo-Toidralox east=Vusxeli west=Ravar
Stagnibi-Stelle north=Cogxeli south=Morcori east=Venos west=Cheatixar
Perida-Aldige north=Lambdusto-Epsi south=Keplar-Piayanet east=Litopia west=Achrasai
Ara-Lachronos north=Lideni south=Catmo-Thidovep east=Jupiter-Dandov west=Dovach
Mesza north=Telmiate south=Liter east=Terra west=Osoli-Dydei
Ridani-Zarnula north=Cetimet south=Meglomet east=Dreabo west=Lonsimio-Tiamdi
Pistgi north=Meglo-Dancog south=Saturntel east=Carda-Britoid west=Centau-Sigrida
Rora-Achrama north=Topia-Netrylu south=Lambdus-Yadunedis east=Conpo west=Pesstelle
Dovnu north=Vetal south=Nisbos east=Osolipa west=Nislar
Signi north=Ciibran south=Castalpro-Piterra east=Zarleb west=Jotuneya
Terraoso north=Dige-Aldige south=Hephaes-Omrida east=Dracrondia west=Zeusmes
Typhoonmag north=Tisen south=Diami east=Morembo west=Cetilo
Loxom north=Deimeg south=Stagnibi-Astosbia east=Barida-Opmo west=Plutopia-Magdes
Lantelmia-Caraka north=Pusmia south=Vanspho east=Senmars west=Schermet
Vantax north=Opdre-Aphro south=Embora-Gesepmi east=Rescel west=Turnnis
Achra-Biaosoli north=Deisen south=Buleb east=Dosder west=Chearukup
Caldomi-Opmag north=Topia-Solichea south=Repago west=Thura-Riona
Nomi-Giburet north=Lepcon south=Domini-Branachra east=Pistsa west=Raloxpho
Omrida-Esla north=Rora-Hephaes south=Revon east=Pesvonvian west=Rida-Esla
Cogpusbran north=Soli-Zeusphoonde south=Rionadi east=Arathos west=Dreaomri
Boslicom north=Xarcal-Potel south=Kistu east=Marida-Omrida west=Zathu-Soli
Oplas north=Leonisso-Lebtiuszar south=Marster east=Percii-Hyphobos west=Hecep
Castalben south=Vusbos east=Achra-Conbren west=Nula-Seppripro
Lepnula north=Tiuscog south=Gepiahy east=Cardani-Rescii west=Vidusto
Perida-Karariona north=Piter-Xima south=Concii east=Nettal west=Piusnoe
Oxisencor north=Phanibi-Astos south=Diaphan east=Osi-Bumetne west=Talsus
Endor-Diaep north=Calasphan south=Desla east=Rescygrio west=Lebdis
Deibarson north=Corida-Piuschea south=Ceti-Chealesti east=Conva west=Pessoli
Prici north=Appotel-Tupi south=Simio-Epsimio-Liuscor east=Biamercu west=Boslic-Phoboslic-Conmar
Cordo-Desbri north=Netvonmars south=Meglo-Pesdunedite east=Bora-Cordomi west=Toscosma
Esla-Cury north=Lebjo south=Ridani-Piusmesles east=Biru-Hyphobos west=Pago-Karasegju
Hyphobos-Morhe north=Terralar south=Ditedeni east=Auranet west=Ronoxi
Oribi north=Telmia-Ara south=Pesnoeli east=Ladomi west=Donevi
Ciiem north=Arvada-Neptune-Disbarson south=Larres east=Taxsig-Nibi west=Aura-Achra
Zardy north=Drachronos-Theper south=Shporiona-Ximari east=Endor-Bora-Dianula west=Vontel
Deirio north=Varosi south=Cronneptune east=Miaval west=Larkep
Ditenigdav north=Eondrao south=Dermi-Tallambdus east=Endor-Deinu west=Rionaya
Marli north=Cheachronos south=Dermi-Peslera east=Curyhein west=Dige-Omrida
Biru-Pridreme north=Appotel-Dani-Osimio south=Concarda east=Borazar west=Omri-Dorsaidan
Nigdisu north=Dreamet south=Luret east=Domini-Caldo west=Osoli-Zathura
Mesorilox north=Rebos south=Hypho-Brannibi east=Karajoeon west=Cheaterra
Carida north=Simio-Miodorsai south=Telmiapro east=Cordo-Hecando west=Revus
Taxsaive north=Danibi-Mini south=Lonsimio-Phani east=Dunepist west=Meglolius
Lambdusto-Phani north=Camiooso south=Celles-Sonco east=Dreales west=Netdune
Destunelar north=Mercury-Zarmiaper east=Cica-Toshypho west=Centau-Nimbusco
Trapistro north=Arvada-Draxeli south=Xarneli east=Arvada-Sonquameg west=Branen
Perida-Toidap north=Ciikara south=Cellesti-Deiap east=Cordo-Soli west=Minibi-Conkeplar
Barson-Vallesti north=Heccastal south=Spholi-Vadani east=Cosmari-Cica west=Marida-Phimopi
Taxsegam north=Nissimio-Kismercu south=Pistvianta east=Telmiamor west=Chronoszeus
Dorsai-Catsi north=Morlar south=Lambdus-Miacii east=Morbus west=Prome-Lamarli
Toszeusaes north=Mesgipri south=Kupsicmor east=Aurapes west=Drephoon
Busmetne north=Cordo-Auraal south=Castaldrea east=Omrida-Cattyphoon west=Thecog
Metneli-Epsi north=Phimer south=Marsdiacyg east=Rudosdone west=Busonpho
Vonpus north=Lonsi-Jupiter south=Talmor east=Taop west=Topia-Nibi
Senshpo north=Conpo east=Achra-Neptune west=Lambdus-Yadunedis
Vearva north=Nisdomi south=Leintu east=Plutopia-Buscher west=Vanvon
Telmiaes north=Cori-Heliso south=Ruphobos east=Chearukup west=Scherlancos
Marida-Phitecor north=Andomi-Pusnibi south=Dige-Zarterra east=Segom west=Sepluxi
Potel-Larres north=Gira-Chronos south=Shporio-Terraob east=Dreaomri west=Mercu
Ura-Aldi north=Neli-Navepes south=Conloxbri east=Pago west=Meheccu
Catnet north=Glatiustau south=Sicterra east=Catvial west=Potelmia-Noeli
Lanhein north=Ciithi south=Saturn-Danlox east=Larsigval west=Mercu-Vada
Cetidite north=Cori-Dorsai south=Phical east=Typhoonres west=Phanibi-Relamb
Donedone north=Lepka south=Mercu-Heli east=Opkiskep
Noschro north=Taurida-Lodone south=Vada-Uraka east=Taurida west=Brenta-Mercu
Omri-Thetuneli north=Meglo-Cheavanoso south=Keplarmi east=Castalbar west=Urapes
Pluto-Deltamo north=Valles-Bubenzar south=Ara-Andomi east=Thipiusza west=Achra-Coghephaes
Nulanoe north=Marsdelta south=Dani-Mercury east=Scherarva west=Ximari-Appo
Spholi-Cogarva north=Tauri-Aphro south=Endor-Nibiru east=Oxipe west=Ura-Plutopia
Davterra north=Xarosi south=Nigmarsmia east=Mesgla west=Noelitos
Percii-Hyphobos north=Phoonbran south=Donevi east=Telmia-Ara west=Oplas
Neptune-Marsmioo north=Marsthura south=Miabos east=Mialeb-Susxeli west=Nayaret
Cicato north=Goperi south=Priaphro east=Quascher west=Marthe
Perida-Danibi north=Biastel south=Ciitius east=Birunoe west=Mari-Nomi
Perciides north=Nischea south=Centau-Redrea east=Zathu-Tachro west=Eonloxra
Embo-Dantrapist north=Mini-Dretiusnet south=Boslic-Omri east=Doneal-Vidia west=Megloge
Liceonjo north=Segcica south=Xelidune east=Lambdusto-Mercury west=Vadani-Ara
Lethprisen north=Perciies south=Phantaxphi east=Thura-Lardor west=Achra-Phani
Karazar north=Magmari south=Jupi-Mercury east=Senep west=Lepcron-Donecu
Goditehy north=Shporio-Opradune south=Oririda east=Kiscentau west=Quamagdei
Stagnibi-Doneoxivi north=Jupiter-Tiusvusvian south=Menoeli east=Lanpiusmi west=Leonis-Varxima
Dracu north=Hecdi south=Nula-Piuspistoxi east=Benzar-Viter west=Redusto
Rorami north=Butheret south=Sicdov east=Pesmars west=Yastag
Drachronos north=Stagni-Dyle south=Lonsi-Dorsaiqua east=Dylox west=Caldo-Aldige
Tosspho north=Loxdiadov south=Segtisen east=Rionaturn west=Kupsicgi
Cosmari-Dyloxma north=Orinoe-Spholi south=Bari-Kara-Cardani east=Appotel-Pulmethi west=Pluto-Mopiter
Lipulkup north=Castal-Stelle south=Caldo-Nomini east=Aldi-Ditexima west=Xeli-Barida
Nomini-Piter north=Simio-Cosma south=Prial east=Sepmarsob west=Ceti-Dermini
Liusdomi north=Cosmari south=Busseg east=Vianbranmet west=Cadre-Terra
Vussaturn north=Disveson south=Aldi-Achraco east=Saitelmia west=Cetihy
Nisnanis south=Omri-Renu east=Pusru west=Valles-Vonben
Lonibi north=Valles-Tiushe south=Morpist east=Mopi-Leinrytoid west=Segloxre
Centau-Cordo north=Vonrypro south=Karaconnim east=Hephaes-Varpist west=Lesti-Deltaseg
Peri-Embo north=Domini-Buau south=Dusto-Kupsic east=Cygaph west=Latiusval
Mercu-Netscherso north=Nimbusder south=Marpo east=Zathu-Quahy west=Kupsic-Jodeinep
Morphani north=Viancii south=Rida-Aldi east=Castalkis west=Pusbren
Piaboslic north=Simiomeg south=Dianospes east=Cronmari west=Omri-Licnis
Dorsai-Lebepsi north=Deivi south=Hecphoon east=Tala west=Nisson
Cosmari-Cica north=Astoses south=Omrida-Keplarlamb east=Mercu-Deiaph west=Barson-Vallesti
Lera-Mardige north=Carda-Britoid south=Mehypho east=Celles west=Saturntel
Eslader north=Piter-Achra south=Epsi-Thura east=Amdige-Donephan west=Xarmag
Osimio-Lasoli north=Pusstelle south=Dermini-Netlan east=Sepo west=Endorsai-Lanan
Meglo-Davditegla north=Cygthe south=Appo-Thura east=Pricronle west=Centauri-Embora
Saturn-Ditetunetune north=Cronpi south=Sigleo east=Terra-Castalnig west=Eonra
Lonsi-Lavikis north=Catdav south=Litrapist east=Deltaben west=Segdite
Cronmorry north=Lugidone south=Ceti-Embo east=Segthura west=Lethlasdune
Pistper north=Liusthecii south=Nulanim east=Shporiona-Catleb west=Osi-Tacu
Dosmiosen north=Spholi-Piusal south=Trapistthos east=Typhoonza west=Carda-Branbran
Nulaza north=Scherdorsai south=Tauri-Peri east=Meeonstel west=Telmiaba
Phoonpiahec north=Taxlar south=Mercu-Magbos east=Dani-Branben west=Cordomi-Tacordo
Tinim north=Deni-Nigcaldo south=Mari-Benzar east=Tipist west=Trapist-Biaesla
Thura-Saiembo north=Meglonoe south=Topianu east=Vonorihec west=Dosqua
Tunexe north=Thetal south=Georilein east=Toidan west=Tauri
Jocon north=Busnomi south=Phantax-Dorsai east=Vancentau west=Opomri
Stellera-Cogheinlein north=Taxnigaes south=Boslic-Pagohy east=Piusthos west=Barida-Magnos
Heinleintius north=Pistphani south=Miaando east=Pulap west=Lantutius
Thipiusza north=Domi-Ruza south=Potelmia-Spholive east=Jupiter-Perciipho west=Pluto-Deltamo
Deidy north=Epsimio-Cury south=Oblitius-Lesti east=Biatelic west=Leppricii
Bora-Glatiusmio north=Philar south=Hecvalles-Rida east=Amdige-Rakisdis west=Amdi-Kiscas
Getaxnep north=Lepaphro south=Dreaura east=Taxka west=Leonis
Brentalius north=Appotel-Rema south=Meglo-Sussoli east=Karado west=Perciidav
Aurason north=Lethmarlu south=Lanara east=Vonturnlep west=Cetian
Simio-Epsimio north=Benzarcen south=Lanka east=Caldomi-Eonan west=Mari-Tidosso
Osi-Biru north=Tuneben south=Achracon east=Gecos west=Donepes
Thoslic north=Arapius south=Maraura east=Suscor west=Aldi-Cica
Dannario north=Perciizeus south=Borabri east=Phoondus
Despesza north=Caldomi-Senachra south=Cronrio east=Cheaxarter west=Barida-Desdav
Nomini-Brenta north=Scheroxide south=Busseplon east=Typhoon-Turnhephaes west=Kupsicthi
Liruam north=Caldo-Auraap south=Theju east=Tuca west=Phikupsic
Lumini north=Boslicap south=Mari-Mari east=Ditecos west=Cazaras
Deivinig north=Thosbren south=Zathu-Cheavada east=Dunemarsaes west=Liseptius
Phoonlu north=Cogco south=Opcog east=Dianim west=Lardorsai-Constagni
Arvada-Cheasic north=Retkarader south=Rescel east=Ciiob west=Opdre-Aphro
Danlar north=Xima-Leonis south=Dustopia-Vallesti east=Danibi-Tosleth west=Boslicbus
Taurida-Phiam north=Loxphobos south=Astos-Toidsuspho east=Xeliqua west=Carda-Meob
Epsimio-Epsimio north=Loxtius south=Pistsa east=Phani-Ryo west=Lepcon
Sonlamb north=Dustopia-Dunehein south=Zeusret east=Taurida-Teoxigo west=Tepo
Sontel north=Lera-Dorsai south=Stagnibi-Pulplu east=Liza west=Cronas
Nislar north=Pullox south=Potel-Taldialeb east=Dovnu west=Prome-Gekis
Lambdus-Marscat north=Gemio south=Saistel east=Omrida-Miocarda west=Biru
Embora-Leincas north=Desdo south=Spholi-Rida east=Pusschersus west=Sepbren
Shporio-Nosdei north=Taxnignep south=Chronosdone-Denibi east=Sicbenzar west=Curyhein
Nomini-Phobos north=Osi-Bumetne south=Liusjoas west=Diaphan
Phani-Eonop north=Vonembo south=Osimio-Conloxbri east=Trapist-Phobos west=Ara-Plutopia
Donecori north=Kisconnig south=Dusto-Britoidgo east=Dreaosi west=Pultelmia
Dreathura north=Yaspho south=Pricu east=Stelle-Arvada west=Vada-Miayaheph
Topia-Dosxe north=Catal south=Lalambdus east=Centau-Glatiussig west=Turnchro
Rida-Esla north=Pistcel south=Rymar east=Omrida-Esla west=Achra-Potelmia
Spholi-Osi-Morla north=Esla-Trapist south=Dunerucar east=Niskep west=Domini-Corida
Dunebiapa north=Domi-Priseg south=Licdi east=Leonisro west=Topialeo
Pistesla north=Benzar-Simioca south=Zardrale east=Aldige-Yami west=Cavalles
Tatalap north=Dosper south=Phoonthi east=Branrugo west=Aldi-Lahecphoon
Thuradone north=Trapistrio south=Cogbos east=Omri-Hypho west=Laes
Uraach north=Resbus south=Celles-Epsimio-Stellera east=Leppuldra west=Davpo
Sensen north=Sepcogmio south=Discrondov east=Nibiru-Mini west=Drastelle
Netar north=Miaval south=Yaqua east=Senpro west=Cronneptune
Lolep north=Pagomi south=Tunedei east=Vecastal west=Susle
Prome-Deslictax north=Caldo-Vonpago south=Aldi-Keplarmeg east=Epsimio-Davvecii west=Celles-Biru
Thepotel north=Lestitra south=Kara-Curycron east=Nulade west=Lonsi-Miakislu
Ronneli north=Phani-Perida south=Cordo-Hecando east=Resen west=Simio-Miodorsai
Talpluto north=Cygmar south=Ryben east=Nomi west=Osimio-Zeusliussus
Pribran north=Netquados south=Peri-Pago east=Tules west=Piagla
Urathos north=Metneli-Licleinnis south=Cica-Toshypho east=Thinim west=Mercury-Zarmiaper
Zathura-Heli north=Rymer south=Toidlar east=Lepcii west=Castal-Diaturnzar
Heli-Chronosscher north=Ximari-Cogando south=Chronos-Xima east=Appotel-Lesti west=Sigretsig
Dorsai-Boravus north=Dovscher south=Karaau east=Cygsi west=Nibiru-Vianties
Laa north=Zeusre south=Telmia-Pluto east=Epsimio-Trapiststel west=Biava
Ando-Nosnigturn north=Segphoon south=Netquador east=Luvada west=Hypho-Lambdusto
Nospius north=Oxirenet south=Jupi-Susva east=Pulcarda west=Yalic
Dermi-Lopercii north=Disleo south=Biru-Endorsai east=Aldi-Cica west=Delta-Cheapluto
Liusve north=Aurapes south=Quavada east=Dermi-Seplius west=Kupsicmor
Suseonlius north=Nelibri south=Marstag east=Cygrora west=Geura
Hyphobos-Tosvarhec north=Scherphi south=Vemia east=Taxde west=Vanap
Pagocyg north=Benzarhec south=Phantax-Spholihe east=Nigcelles west=Conkara
Susnibi north=Siclas south=Stellera-Suszar east=Aesna west=Nabranda
Cury-Cordo north=Zarphigo south=Ceti-Piusbora east=Vusredor west=Bulicdre
Branen north=Danchronos south=Cordomi-Busturn east=Trapistro west=Valles-Lepcury
Marida-Neli north=Biru-Brenta south=Cheaosi east=Lumari west=Morjodes
Pesdav north=Timor south=Brentapia east=Kara-Scherlicspho west=Catlera
Disamdi north=Mopi-Magphoonjo south=Cordomi-Taurida east=Tulas west=Optoidu
Deni-Gidescen north=Noelinos south=Typhoonsep east=Shporiona-Ditegla west=Zeusvar
Nados north=Oprora south=Vadani-Pistnula east=Conpuldi west=Cori-Thosarva
Domini-Castal north=Chronos-Spholikup south=Aesembo east=Toidnigau west=Hecdige
Castal-Percii north=Lantelmia south=Lethchronos east=Birude west=Phoonda
Lometne north=Obli-Dreariona south=Thurahe east=Nomini-Promemes west=Gimars
Saturnlic north=Piusdischro south=Phobos-Lanxarvon east=Mercu-Biru west=Aldige-Hyphobos
Sigduneju north=Deni-Deiosoli south=Britoidry east=Turnmorleb west=Ceti-Lethte
Taxmia north=Plutopia-Marstelle south=Cordo-Cogara east=Giperi west=Xeli-Lepgoplu
Vongogla north=Nisronmet south=Taxsig east=Centauri-Revar west=Metneli-Ladunepul
Hecya north=Phitauri south=Domini-Dani east=Ciidonehe west=Brenta
Morde north=Nimbus-Godiatu south=Catro east=Vusqua west=Senmiapus
Benzar-Obli north=Denibi-Mardune south=Theomri east=Pultelmia west=Yado
Endorsai-Saidavlamb north=Arvada-Opchea south=Veza east=Aldige-Dyshporio west=Pusbuspus
Rela north=Pesdei south=Stelle-Cori east=Lithegi west=Leinleb
Lanphina north=Sondorsai south=Talturn east=Dyleincii
Nula-Netdomi north=Digebren south=Lepleonis east=Piterra-Taxrora west=Doslebdi
Neptune-Varmercu north=Lambdus-Dandorsai south=Cadre east=Davpo-Conscher west=Netmiocog
Terra-Arvada north=Barida-Rucar south=Oblitius east=Birulan west=Barida-Promehy
Xelico north=Dustopia-Thurare south=Lani east=Deltades west=Sepzathu
Centau-Dosge north=Dissic south=Eslaori east=Aura-Thosra west=Barson-Vusder
Doscen north=Digeso south=Lebnoeli east=Gonethy west=Tubran
Discakis north=Cordomi-Caspho south=Opder east=Astosben west=Opcatvon
Mopi-Vusme north=Nibi-Liusosoli south=Ryvalles east=Melep west=Nibi-Delta
Dosobli north=Phoonmo south=Thinisres east=Lera-Rontauri west=Xima-Amdi
Toidme north=Biamagvian south=Davthu west=Ditetucron
Croncamer north=Noeliep-Dermini south=Larder east=Pago-Talob west=Marstax
Typhoonlius north=Hyphobos-Nosprome south=Veopya east=Segter west=Rora-Quaeon
Lambdusto-Corida north=Kisdor south=Glatiushe east=Andomi west=Thedige
Turnci north=Stellera-Cordomi south=Jotuneya east=Ciibran west=Davret
Bari-Noeli north=Keplarbos south=Dustopia-Dige east=Bialan west=Stellera-Delta
